title,juan_name,sale_date
普通攻击是全体攻击而且能二次攻击的妈妈你喜欢吗,通常攻撃が全体攻撃で二回攻撃のお母さんは好きですか？ 1,2019年9月25日発売
普通攻击是全体攻击而且能二次攻击的妈妈你喜欢吗,通常攻撃が全体攻撃で二回攻撃のお母さんは好きですか？ 2,2019年10月30日発売
普通攻击是全体攻击而且能二次攻击的妈妈你喜欢吗,通常攻撃が全体攻撃で二回攻撃のお母さんは好きですか？ 3,2019年11月27日発売
普通攻击是全体攻击而且能二次攻击的妈妈你喜欢吗,通常攻撃が全体攻撃で二回攻撃のお母さんは好きですか？ 4,2019年12月25日発売
普通攻击是全体攻击而且能二次攻击的妈妈你喜欢吗,通常攻撃が全体攻撃で二回攻撃のお母さんは好きですか？ 5,2020年1月29日発売
普通攻击是全体攻击而且能二次攻击的妈妈你喜欢吗,通常攻撃が全体攻撃で二回攻撃のお母さんは好きですか？ 6,2020年2月26日発売
只要可爱即使是变态你也会喜欢我吧？,可愛ければ変態でも好きになってくれますか？ 01,2019年9月25日（水）
只要可爱即使是变态你也会喜欢我吧？,可愛ければ変態でも好きになってくれますか？ 02,2019年10月25日（金）
只要可爱即使是变态你也会喜欢我吧？,可愛ければ変態でも好きになってくれますか？ 03,2019年11月27日（水）
平凡职业造就世界最强,「ありふれた職業で世界最強」Blu-ray BOX ①,2019年10月30日発売
平凡职业造就世界最强,「ありふれた職業で世界最強」Blu-ray BOX ②,2019年12月25日発売
平凡职业造就世界最强,「ありふれた職業で世界最強」Blu-ray BOX ③,2020年02月26日発売
中之人基因组【实况中】,ナカノヒトゲノム【実況中】　Vol.1,2019年9月25日（水）発売
中之人基因组【实况中】,ナカノヒトゲノム【実況中】　Vol.2,2019年10月25日（金）発売
中之人基因组【实况中】,ナカノヒトゲノム【実況中】　Vol.3,2019年11月27日（水）発売
中之人基因组【实况中】,ナカノヒトゲノム【実況中】　Vol.4,2019年12月25日（水）発売
女高中生的浪费青春,女子高生の無駄づかい Vol.1,2019年9月25日(水)発売
女高中生的浪费青春,女子高生の無駄づかい Vol.2,2019年10月25日(金)発売
女高中生的浪费青春,女子高生の無駄づかい Vol.3,2019年11月27日(水)発売
女高中生的浪费青春,女子高生の無駄づかい Vol.4,2019年12月25日(水)発売
