,Unnamed: 0,title,cntitle,HP,bd_link
0,0,ケンガンアシュラ,拳愿阿修罗,,
1,1,トライナイツ,TRY KNIGHTS,https://www.ntv.co.jp/tryknights/,404
2,2,Knights of the Zodiac: Saint Seiya,十二宫骑士：圣斗士星矢,,
3,3,BEM,妖怪人贝姆,https://newbem.jp/,502
4,4,とある科学の一方通行,某科学的一方通行,,
5,5,通常攻撃が全体攻撃で二回攻撃のお母さんは好きですか？,普通攻击是全体攻击而且能二次攻击的妈妈你喜欢吗,http://okaasan-online.com,http://okaasan-online.com/bddvd/
6,6,まちかドまぞく,街角魔族,http://www.tbs.co.jp/anime/machikado/,502
7,7,ギヴン,GIVEN 被赠与的未来,http://given-anime.com,502
8,8,異世界チート魔術師,异世界超能魔术师,http://isekai-cheat-magician.com/,502
9,9,コップクラフト,全缉毒狂潮,http://copcraft.tv,502
10,10,可愛ければ変態でも好きになってくれますか？,只要可爱即使是变态你也会喜欢我吧？,http://hensuki.com,http://hensuki.com/bd/
11,11,ありふれた職業で世界最強,平凡职业造就世界最强,http://arifureta.com,https://arifureta.com/blu-ray
12,12,胡蝶綺 ～若き信長～,蝴蝶绮 ～年轻的信长～,http://wakanobu.com,502
13,13,からかい上手の高木さん 2期,擅长捉弄的高木同学 第二季,http://takagi3.me,502
14,14,ヴィンランド・サガ,冰海战记,http://vinlandsaga.jp,502
15,15,あんさんぶるスターズ！,偶像梦幻祭,,
16,16,ナカノヒトゲノム【実況中】,中之人基因组【实况中】,http://www.nhg-anime.com,http://www.nhg-anime.com/bddvd/
17,17,指先から本気の熱情-幼なじみは消防士-,从指尖传出的认真的热情-青梅竹马是消防员-,https://yubinetsu.cf-anime.com,502
18,18,荒ぶる季節の乙女どもよ。,骚动时节的少女们啊,http://araoto-anime.com,502
19,19,女子高生の無駄づかい,女高中生的浪费青春,http://jyoshimuda.com,http://jyoshimuda.com/package.html
20,20,Dr.STONE,新石纪,http://dr-stone.jp,502
21,21,炎炎ノ消防隊,炎炎消防队,http://fireforce-anime.jp,502
22,22,グランベルム,满月之战,http://granbelm.com/,502
23,23,,Re:ステージ！ ドリームデイズ♪,https://rst-anime.com/,
24,24,うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。,为了女儿，我说不定连魔王都能干掉,http://uchinoko-anime.com,502
25,25,ダンベル何キロ持てる？,流汗吧！健身少女,,
26,26,彼方のアストラ,彼方的阿斯特拉,http://astra-anime.com,502
27,27,魔王様、リトライ!,重来吧，魔王大人！,,
28,28,ソウナンですか?,你遭难了吗？,http://sounandesuka.jp,502
29,29,手品先輩,魔术学姐,,
30,30,かつて神だった獣たちへ,致曾为神之众兽,http://katsu-kami.com,http://katsu-kami.com/blu-ray
31,31,スタミュ 第3期,高校星歌剧 第三季,,
32,32,7SEEDS,幻海奇情,http://7seeds.jp,502
33,33,Fate/kaleid liner プリズマ☆イリヤ OVA,魔法少女伊莉雅 OVA,,
34,34,アグレッシブ烈子　シーズン2,职场小烈 第二季,,
35,35,蒼穹のファフナー THE BEYOND,苍穹之法芙娜 THE BEYOND,http://fafner-beyond.jp,502
36,36,みるタイツ,裤袜视界,http://mirutights.jp,502
37,37,ホロのぐらふぃてぃ,Holo的涂鸦,https://www.hololive.tv,502
38,38,戦姫絶唱シンフォギアXV,战姬绝唱Symphogear XV,,
39,39,アイカツフレンズ！～かがやきのジュエル～,偶像活动Friends～闪耀的宝石～,,
40,40,ジモトがジャパン,地元是日本,,
41,41,進撃の巨人 Season3 Part.2,进击的巨人 第三季 Part.2,https://shingeki.tv/season3/,502
42,42,機動戦士ガンダム THE ORIGIN,机动战士高达 THE ORIGIN 前夜 赤色彗星,http://www.gundam-the-origin.net,502
43,43,リラックマとカオルさん,轻松小熊和小薰,,
44,44,テレビ野郎 ナナーナ わくわく洞窟ランド,香蕉怪大叔：呐呐～呐好奇洞穴乐园,,
45,45,ストレイドッグス 第3シーズン,文豪野犬 第三季,http://bungo-stray-dogs.jp,502
46,46,さらざんまい,皿三昧,http://sarazanmai.com/,http://sarazanmai-bddvd.com/
47,47,キャロル＆チューズデイ,卡罗尔与星期二,http://caroleandtuesday.com,http://caroleandtuesday.com/bd
48,48,世話やきキツネの仙狐さん,贤惠幼妻仙狐小姐,http://senkosan.com,404
49,49,賢者の孫,贤者之孙,,
50,50,異世界かるてっと,异世界四重奏,,
51,51,ワールドウィッチーズシリーズ 501部隊発進しますっ！,强袭魔女：501部队出发！,,
52,52,まほうのルミティア,魔法露米缇尔,https://www.bandai.co.jp/candy/lumitear/,502
53,53,RobiHachi,罗比哈奇,http://robihachi.jp,502
54,54,ノブナガ先生の幼な妻,信长老师的年幼妻子,http://nobutsuma-anime.com,502
55,55,なむあみだ仏っ！-蓮台 UTENA-,南无阿弥陀佛！-莲台 UTENA-,https://namuami-utena-anime.com/,502
56,56,,KING OF PRISM -Shiny Seven Stars-,https://kinpri.com/,
57,57,なんでここに先生が⁉,为什么老师会在这里！？,http://nankoko-anime.com,502
58,58,,Fairy gone,https://www.fairygone.com,
59,59,八月のシンデレラナイン,八月的棒球甜心,,
60,60,真夜中のオカルト公務員,深夜的超自然公务员,http://occultkoumuin.com,502
61,61,洗い屋さん！～俺とアイツが女湯で!?～,洗屋先生！～我和那家伙在女浴池！?～,https://araiya.cf-anime.com/,502
62,62,群青のマグメル,拾又之国,,
63,63,消滅都市,消灭都市,http://shoumetsutoshi-anime.com,502
64,64,MIX MEISEI STORY,MIX：明青故事,http://www.ytv.co.jp/mix/,404
65,65,鬼滅の刃,鬼灭之刃,http://kimetsu.com,502
66,66,ぼくたちは勉強ができない,我们无法一起学习,https://boku-ben.com,502
67,67,この音とまれ!,一弦定音！,http://konooto-anime.jp,502
68,68,超可動ガール1/6,超可动女孩1/6,,
69,69,女子かう生,女子高中生,,
70,70,けだまのゴンじろー,毛球权次郎,https://www.tv-tokyo.co.jp/anime/gonjiro/,502
71,71,フルーツバスケット,水果篮子,http://fruba.jp,502
72,72,,川柳少女,http://senryu-girl-official.com,
73,73,ひとりぼっちの○○生活,孤独地躲在墙角画圈圈,http://hitoribocchi.jp,404
74,74,淫らな青ちゃんは勉強ができない,满脑都是○○的我没办法谈恋爱,http://www.aochan-anime.com,502
75,75,八十亀ちゃんかんさつにっき,八十龟酱观察日记,https://yatogame.nagoya/,404
76,76,ミリオンアーサー 第2シーズン,叛逆性百万亚瑟王 第二季,http://hangyakusei-anime.com/,http://hangyakusei-anime.com//bd
77,77,クライシス,BAKUMATSU CRISIS,,
78,78,ミリオンアーサー,弱酸性百万亚瑟王 叛逆篇 第二季,http://portal.million-arthurs.com/kairi/jma/,502
79,79,,妖精ちぃたん☆,https://www.tv-tokyo.co.jp/anime/kinder/intro/sakuhin14/,
80,80,ダイヤのA actII,钻石王牌 第三季,http://diaace.com,404
81,81,ワンパンマン 2期,一拳超人 第二季,http://onepunchman-anime.net,502
82,82,この世の果てで恋を唄う少女YU-NO,在世界尽头咏唱恋曲的少女YU-NO,http://yu-no.jp/anime/,502
83,83,けものフレンズ３,兽娘动物园3,,
84,84,アイドルマスター シンデレラガールズ劇場 第4期,偶像大师 灰姑娘女孩剧场 第四季,,
85,85,ポプテピピック TVスペシャル,pop子和pipi美的日常 TV特番,,
86,86,Ultraman Season 1,机动奥特曼 第一季,http://anime.heros-ultraman.com,502
87,87,あにめたまご2019,动画之蛋2019,https://animetamago.jp/,502
88,88,ハイスコアガール EXTRA STAGE,高分少女 EXTRA STAGE,http://hi-score-girl.com,http://hi-score-girl.com/bddvd
89,89,俺が好きなのは妹だけど妹じゃない 特典SP,我喜欢的妹妹但不是妹妹 特典SP,http://imo-imo.jp,404
90,90,ダグ＆キリル Extra Story,DOUBLE DECKER! 道格&基里尔 番外篇,http://dabudeka.com/extra/index.html,502
91,91,スター☆トゥインクルプリキュア,Star☆Twinkle 光之美少女,,
92,92,喂，看见耳朵啦！第二季,喂，看见耳朵啦！,,
93,93,はたらく細胞 特典,工作细胞 特典,,
94,94,戦艦ティラミス II 未放送話,宇宙战舰提拉米斯II EX,http://tiramisu-anime.com/,http://tiramisu-anime.com/bddvd/
95,95,ピアノの森 第2シリーズ,钢琴之森 第二季,http://piano-anime.jp/,502
96,96,神撃のバハムート マナリアフレンズ,巴哈姆特之怒 Manaria Friends,http://manaria.jp,502
97,97,池袋PRアニメ,池袋PR动画,,
98,98,エロマンガ先生 OVA,情色漫画老师OVA,http://eromanga-sensei.com,http://eromanga-sensei.com/bd-dvd/
99,99,けものフレンズ2,兽娘动物园2,http://kemono-friends.jp,502
100,100,荒野のコトブキ飛行隊,荒野的寿飞行队,http://dodo-countdown.com,404
101,101,かぐや様は告らせたい～天才たちの恋愛頭脳戦～,辉夜大小姐想让我告白：天才们的恋爱头脑战 第一季,http://kaguya.love,502
102,102,えんどろ～！,Endro～！,http://endro.jp,502
103,103,カラフル・パストラーレ,百慕大三角～Colorful Pastrale～,http://colorful-pastrale.com,502
104,104,ドメスティックな彼女,家有女友,http://domekano-anime.com,502
105,105,魔法少女特殊戦あすか,魔法少女特殊战明日香,http://magical-five.jp,404
106,106,デート・ア・ライブⅢ,约会大作战3,http://date-a-live-anime.com,http://date-a-live-anime.com/bldvd
107,107,～絶頂＊エモーション～,B-PROJECT 第二季,,
108,108,約束のネバーランド,约定的梦幻岛,http://neverland-anime.com,502
109,109,五等分の花嫁,五等分的新娘,http://www.tbs.co.jp/anime/5hanayome/,502
110,110,グリムノーツ,格林笔记,http://www.tbs.co.jp/anime/grimmsnotes/,502
111,111,ガーリー・エアフォース,飞翔吧！战机少女,http://gaf-anime.jp,404
112,112,フライングベイビーズ,草裙舞女孩,https://hulaingbabies.com,502
113,112,フライングベイビーズ,草裙舞女孩,https://hulaingbabies.com,502
114,113,ハイスクール,Dimension High School,http://dimension-hs.com/,http://dimension-hs.com//bd_dvd
115,114,フライングベイビーズ,草裙舞女孩,https://hulaingbabies.com,502
116,114,フライングベイビーズ,草裙舞女孩,https://hulaingbabies.com,502
117,115,同居人はひざ、時々、頭のうえ。,同居人是猫,http://hizaue.com,502
118,116,ケムリクサ,烟草,http://kemurikusa.com,http://kemurikusa.com/news/bd-cd/
119,117,revisions リヴィジョンズ,涩谷保卫战,http://revisions.jp,502
120,118,明治東京恋伽,明治东京恋伽,http://meikoi.com/tv-anime/,http://meikoi.com/tv-anime//tv-anime/blu-ray_dvd/
121,119,バーチャルさんはみている,虚拟小姐在看着你,https://virtualsan-looking.jp,502
122,120,パパだって、したい,就算是爸爸，也想要,https://papashita.cf-anime.com,502
123,121,,まんなかのりっくん＠きんてれ,,
124,122,賭ケグルイ××,狂赌之渊××,http://kakegurui-anime.com,http://kakegurui-anime.com/discography
125,123,私に天使が舞い降りた！,天使降临到了我身边！,http://watatentv.com,502
126,124,臨死!! 江古田ちゃん,临死！！江古田,http://ekodachan.com,502
127,125,3D彼女 リアルガール 第2シーズン,三次元女友 第二季,http://www.3dkanojo-anime.com,404
128,126,サークレット・プリンセス,环战公主,,
129,127,ココアside G,雨色可可 side G,,
130,128,モブサイコ100 II,灵能百分百 II,http://mobpsycho100.com/index.html,502
131,129,どろろ,多罗罗,http://dororo-anime.com,502
132,130,ぱすてるメモリーズ,粉彩回忆,https://pasumemotv.com,502
133,131,上野さんは不器用,笨拙之极的上野,http://miss-ueno.com,502
134,132,不機嫌なモノノケ庵 續,忧郁的物怪庵 续,http://mononokean.tv,502
135,133,W’z《ウィズ》,W'Z,http://wz-anime.net,502
136,134,みにとじ,迷你刀使,http://minitoji.jp/,502
137,135,ブギーポップは笑わない,不吉波普不笑,http://boogiepop-anime.com,404
138,136,エガオノダイカ,笑容的代价,http://egaonodaika.com,http://egaonodaika.com/cdgoods/
139,137,2nd season,BanG Dream! 第二季,,
140,138,騎当千 Western Wolves,一骑当千 Western Wolves,http://www.ikkitousen.com/,502
141,139,盾の勇者の成り上がり,盾之勇者成名录,http://shieldhero-anime.jp,404
